id,type,direction,angle,location,category,rating
11,0,0,2,0,comfort,5
11,0,0,2,0,confidence,7
11,0,0,2,0,social,7
11,0,1,0,0,easiness,3
11,0,1,0,0,comfort,3
11,0,1,0,0,confidence,6
11,0,1,0,0,social,7
11,0,1,1,0,easiness,7
11,0,1,1,0,comfort,6
11,0,1,1,0,confidence,7
11,0,1,1,0,social,7
11,0,1,2,0,easiness,7
11,0,1,2,0,comfort,5
11,0,1,2,0,confidence,5
11,0,1,2,0,social,7
15,0,0,0,0,easiness,7
15,0,0,0,0,comfort,7
15,0,0,0,0,confidence,7
15,0,0,0,0,social,7
15,0,0,1,0,easiness,7
15,0,0,1,0,comfort,7
15,0,0,1,0,confidence,7
15,0,0,1,0,social,7
15,0,0,2,0,easiness,7
15,0,0,2,0,comfort,7
15,0,0,2,0,confidence,7
15,0,0,2,0,social,7
15,0,1,0,0,easiness,7
15,0,1,0,0,comfort,7
15,0,1,0,0,confidence,7
15,0,1,0,0,social,7
15,0,1,1,0,easiness,6
15,0,1,1,0,comfort,6
15,0,1,1,0,confidence,7
15,0,1,1,0,social,7
15,0,1,2,0,easiness,5
15,0,1,2,0,comfort,5
15,0,1,2,0,confidence,7
15,0,1,2,0,social,7
24,0,0,0,0,easiness,7
24,0,0,0,0,comfort,7
24,0,0,0,0,confidence,7
24,0,0,0,0,social,7
24,0,0,1,0,easiness,7
24,0,0,1,0,comfort,7
24,0,0,1,0,confidence,7
24,0,0,1,0,social,7
24,0,0,2,0,easiness,7
24,0,0,2,0,comfort,7
24,0,0,2,0,confidence,7
24,0,0,2,0,social,6
24,0,1,0,0,easiness,6
24,0,1,0,0,comfort,6
24,0,1,0,0,confidence,6
24,0,1,0,0,social,6
24,0,1,1,0,easiness,6
24,0,1,1,0,comfort,5
24,0,1,1,0,confidence,6
24,0,1,1,0,social,6
24,0,1,2,0,easiness,6
24,0,1,2,0,comfort,5
24,0,1,2,0,confidence,6
24,0,1,2,0,social,4
23,0,0,0,0,easiness,6
23,0,0,0,0,comfort,7
23,0,0,0,0,confidence,7
23,0,0,0,0,social,7
23,0,0,1,0,easiness,5
23,0,0,1,0,comfort,5
23,0,0,1,0,confidence,6
23,0,0,1,0,social,6
23,0,0,2,0,easiness,5
23,0,0,2,0,comfort,5
23,0,0,2,0,confidence,5
23,0,0,2,0,social,6
23,0,1,0,0,easiness,4
23,0,1,0,0,comfort,4
23,0,1,0,0,confidence,4
23,0,1,0,0,social,6
23,0,1,1,0,easiness,4
23,0,1,1,0,comfort,4
23,0,1,1,0,confidence,4
23,0,1,1,0,social,5
23,0,1,2,0,easiness,4
23,0,1,2,0,comfort,4
23,0,1,2,0,confidence,5
23,0,1,2,0,social,5
18,0,0,0,0,easiness,7
18,0,0,0,0,comfort,7
18,0,0,0,0,confidence,7
18,0,0,0,0,social,7
18,0,0,1,0,easiness,5
18,0,0,1,0,comfort,5
18,0,0,1,0,confidence,6
18,0,0,1,0,social,6
18,0,0,2,0,easiness,5
18,0,0,2,0,comfort,5
18,0,0,2,0,confidence,4
18,0,0,2,0,social,4
18,0,1,0,0,easiness,6
18,0,1,0,0,comfort,6
18,0,1,0,0,confidence,6
18,0,1,0,0,social,6
18,0,1,1,0,easiness,5
18,0,1,1,0,comfort,5
18,0,1,1,0,confidence,5
18,0,1,1,0,social,5
18,0,1,2,0,easiness,4
18,0,1,2,0,comfort,4
18,0,1,2,0,confidence,4
18,0,1,2,0,social,4
20,0,0,0,0,easiness,6
20,0,0,0,0,comfort,6
20,0,0,0,0,confidence,7
20,0,0,0,0,social,7
20,0,0,1,0,easiness,6
20,0,0,1,0,comfort,6
20,0,0,1,0,confidence,7
20,0,0,1,0,social,7
20,0,0,2,0,easiness,5
20,0,0,2,0,comfort,5
20,0,0,2,0,confidence,5
20,0,0,2,0,social,6
20,0,1,0,0,easiness,6
20,0,1,0,0,comfort,6
20,0,1,0,0,confidence,7
20,0,1,0,0,social,7
20,0,1,1,0,easiness,5
20,0,1,1,0,comfort,5
20,0,1,1,0,confidence,5
20,0,1,1,0,social,6
20,0,1,2,0,easiness,3
20,0,1,2,0,comfort,3
20,0,1,2,0,confidence,3
20,0,1,2,0,social,4
1,1,0,-1,1,easiness,5
1,1,0,-1,1,comfort,7
1,1,0,-1,1,confidence,7
1,1,0,-1,1,social,7
1,1,0,-1,2,easiness,4
1,1,0,-1,2,comfort,6
1,1,0,-1,2,confidence,6
1,1,0,-1,2,social,7
1,1,0,-1,3,easiness,6
1,1,0,-1,3,comfort,7
1,1,0,-1,3,confidence,7
1,1,0,-1,3,social,7
1,1,0,-1,4,easiness,6
1,1,0,-1,4,comfort,7
1,1,0,-1,4,confidence,7
1,1,0,-1,4,social,7
1,1,0,-1,5,easiness,7
1,1,0,-1,5,comfort,7
1,1,0,-1,5,confidence,7
1,1,0,-1,5,social,7
1,1,0,-1,6,easiness,7
1,1,0,-1,6,comfort,7
1,1,0,-1,6,confidence,7
1,1,0,-1,6,social,7
1,1,0,-1,7,easiness,6
1,1,0,-1,7,comfort,5
1,1,0,-1,7,confidence,6
1,1,0,-1,7,social,7
1,1,0,-1,8,easiness,7
1,1,0,-1,8,comfort,6
1,1,0,-1,8,confidence,7
1,1,0,-1,8,social,7
