id,type,direction,angle,location,block,trial,errors,time,correct
1,2,0,1,6,3,0,0,1530,true
1,2,0,1,6,3,1,0,1725,true
1,2,0,0,6,3,0,0,1463,true
1,2,0,0,6,3,1,0,1490,true
1,2,0,0,4,3,0,0,1388,true
1,2,0,0,4,3,1,0,1313,true
1,2,0,1,4,3,0,0,2118,true
1,2,0,1,4,3,1,0,1441,true
1,2,0,1,3,3,0,0,1576,true
1,2,0,1,3,3,1,0,1462,true
1,2,0,0,3,3,0,0,1478,true
1,2,0,0,3,3,1,1,1481,true
10,2,0,0,6,1,0,1,885,true
10,2,0,0,6,1,1,0,876,true
10,2,0,1,6,1,0,0,941,true
10,2,0,1,6,1,1,1,1116,true
10,2,0,1,3,1,0,1,1206,true
10,2,0,1,3,1,1,1,1362,true
10,2,0,0,3,1,0,1,943,true
10,2,0,0,3,1,1,0,940,true
10,2,0,1,5,1,0,1,1270,true
10,2,0,1,5,1,1,0,1430,true
10,2,0,0,5,1,0,0,1170,true
10,2,0,0,5,1,1,0,796,true
10,2,0,0,4,1,0,0,864,true
10,2,0,0,4,1,1,0,894,true
10,2,0,1,4,1,0,2,1350,false
10,2,0,1,4,1,1,0,1677,true
